neighborhood_code;neighborhood_names;total_destruction
BU03620201;Oranjebuurt;7.0
BU03620202;Patrimonium;10.0
BU03620301;Elsrijk West;9.0
BU03620302;Kruiskerkbuurt;9.0
BU03620303;Vredeveldbuurt;13.0
BU03620304;Elsrijk Oost;18.0
BU03620401;Stadshart;30.0
BU03620501;Uilenstede;8.0
BU03620502;Kronenburg;2.0
BU03620601;Heldenbuurt;15.0
BU03620602;Zeestratenbuurt;2.0
BU03620603;Boekenbuurt;9.0
BU03620604;Operabuurt;23.0
BU03620701;Middelpolder;12.0
BU03620702;Buurt over Ouderkerk;1.0
BU03620801;Oude Dorp;5.0
BU03620802;Kastanjebuurt;1.0
BU03620803;Van der Leekbuurt;8.0
BU03620804;Populierenbuurt;18.0
BU03620805;Augustinuspark;11.0
BU03620806;Startbaanbuurt;9.0
BU03620901;Langerhuize;12.0
BU03620902;Alpen Rondwegbuurt;3.0
BU03620903;In de Wolkenbuurt;1.0
BU03620904;Watercirkelbuurt;8.0
BU03620905;Kringloopbuurt;5.0
BU03621001;Beroepenbuurt;3.0
BU03621002;Hemellichamenbuurt;12.0
BU03621003;Punterbuurt;7.0
BU03621004;Molenbuurt;6.0
BU03621005;Galjoenbuurt;11.0
BU03621101;Bovenkerk;14.0
BU03621102;Buitenplaatsenbuurt;3.0
BU03621103;Betsy Perkbuurt;2.0
BU03621104;Legmeer;4.0
BU03621105;Landschappenbuurt;4.0
BU03621106;Theaterbuurt;9.0
BU03621201;Kastelenbuurt;9.0
BU03621202;Schrijversbuurt;7.0
BU03621203;Kruidenbuurt;5.0
BU03621204;De Scheg;0.0
BU03621301;Nes aan de Amstel;4.0
BU03621302;Legmeerpolder;1.0
BU03621401;Amsterdamse Bos Noord;4.0
BU03621402;Amsterdamse Bos Zuid;2.0
BU03630000;Kop Zeedijk;117.0
BU03630001;Oude Kerk e.o.;214.0
BU03630002;Burgwallen Oost;182.0
BU03630003;Nes e.o.;30.0
BU03630004;BG-terrein e.o.;33.0
BU03630100;Stationsplein e.o.;164.0
BU03630101;Hemelrijk;59.0
BU03630102;Nieuwendijk Noord;65.0
BU03630103;Spuistraat Noord;35.0
BU03630104;Nieuwe Kerk e.o.;56.0
BU03630105;Spuistraat Zuid;43.0
BU03630106;Begijnhofbuurt;25.0
BU03630107;Kalverdriehoek;33.0
BU03630200;Langestraat e.o.;13.0
BU03630201;Leliegracht e.o.;20.0
BU03630202;Felix Meritisbuurt;23.0
BU03630203;Leidsegracht Noord;4.0
BU03630300;Spiegelbuurt;17.0
BU03630301;Gouden Bocht;20.0
BU03630302;Van Loonbuurt;26.0
BU03630303;Amstelveldbuurt;10.0
BU03630304;Rembrandtpleinbuurt;43.0
BU03630305;Reguliersbuurt;94.0
BU03630306;Leidsegracht Zuid;17.0
BU03630400;Oosterdokseiland;36.0
BU03630401;Scheepvaarthuisbuurt;5.0
BU03630402;Rapenburg;10.0
